id	filename	year	title	landing_url	pdf_url
01	01_deepresearch_bench.pdf	2025	DeepResearch Bench: A Comprehensive Benchmark for Deep Research Agents	https://arxiv.org/abs/2506.11763	https://arxiv.org/pdf/2506.11763
02	02_deepresearch_bench_ii.pdf	2026	DeepResearch Bench II: Diagnosing Deep Research Agents via Rubrics from Expert Report	https://arxiv.org/abs/2601.08536	https://arxiv.org/pdf/2601.08536
03	03_researcherbench.pdf	2025	ResearcherBench: Evaluating Deep AI Research Systems on the Frontiers of Scientific Inquiry	https://arxiv.org/abs/2507.16280	https://arxiv.org/pdf/2507.16280
04	04_reportbench.pdf	2025	ReportBench: Evaluating Deep Research Agents via Academic Survey Tasks	https://arxiv.org/abs/2508.15804	https://arxiv.org/pdf/2508.15804
05	05_openscholar.pdf	2024	OpenScholar: Synthesizing Scientific Literature with Retrieval-Augmented LMs	https://arxiv.org/abs/2411.14199	https://arxiv.org/pdf/2411.14199
06	06_alce.pdf	2023	Enabling Large Language Models to Generate Text with Citations	https://arxiv.org/abs/2305.14627	https://arxiv.org/pdf/2305.14627
07	07_longcite.pdf	2025	LongCite: Enabling LLMs to Generate Fine-Grained Citations in Long-Context QA	https://aclanthology.org/2025.findings-acl.264/	https://aclanthology.org/2025.findings-acl.264.pdf
08	08_citeeval.pdf	2025	CiteEval: Principle-Driven Citation Evaluation for Source Attribution	https://aclanthology.org/2025.acl-long.1574/	https://aclanthology.org/2025.acl-long.1574.pdf
09	09_aliice.pdf	2024	ALiiCE: Evaluating Positional Fine-Grained Citation Generation	https://arxiv.org/abs/2406.13375	https://arxiv.org/pdf/2406.13375
10	10_factscore.pdf	2023	FActScore: Fine-grained Atomic Evaluation of Factual Precision in Long Form Text Generation	https://aclanthology.org/2023.emnlp-main.741/	https://aclanthology.org/2023.emnlp-main.741.pdf
11	11_safe_longfact.pdf	2024	Long-form Factuality in Large Language Models	https://proceedings.neurips.cc/paper_files/paper/2024/hash/937ae0e83eb08d2cb8627fe1def8c751-Abstract-Conference.html	https://proceedings.neurips.cc/paper_files/paper/2024/file/937ae0e83eb08d2cb8627fe1def8c751-Paper-Conference.pdf
12	12_veriscore.pdf	2024	VeriScore: Evaluating the Factuality of Verifiable Claims in Long-form Text Generation	https://aclanthology.org/2024.findings-emnlp.552/	https://aclanthology.org/2024.findings-emnlp.552.pdf
13	13_dfactscore.pdf	2024	Merging Facts, Crafting Fallacies: Evaluating the Contradictory Nature of Aggregated Factual Claims in Long-Form Generations	https://aclanthology.org/2024.findings-acl.160/	https://aclanthology.org/2024.findings-acl.160.pdf
14	14_fastfact.pdf	2025	FaStFact: Faster, Stronger Long-Form Factuality Evaluations in LLMs	https://aclanthology.org/2025.findings-emnlp.1295/	https://aclanthology.org/2025.findings-emnlp.1295.pdf
15	15_deepfact.pdf	2026	DeepFact: Co-Evolving Benchmarks and Agents for Deep Research Factuality	https://arxiv.org/abs/2603.05912	https://arxiv.org/pdf/2603.05912
16	16_minicheck.pdf	2024	MiniCheck: Efficient Fact-Checking of LLMs on Grounding Documents	https://aclanthology.org/2024.emnlp-main.499/	https://aclanthology.org/2024.emnlp-main.499.pdf
17	17_ragas.pdf	2024	RAGAs: Automated Evaluation of Retrieval Augmented Generation	https://aclanthology.org/2024.eacl-demo.16/	https://aclanthology.org/2024.eacl-demo.16.pdf
18	18_ragchecker.pdf	2024	RAGChecker: A Fine-grained Framework for Diagnosing Retrieval-Augmented Generation	https://arxiv.org/abs/2408.08067	https://arxiv.org/pdf/2408.08067
19	19_ares.pdf	2024	ARES: An Automated Evaluation Framework for Retrieval-Augmented Generation Systems	https://aclanthology.org/2024.naacl-long.20/	https://aclanthology.org/2024.naacl-long.20.pdf
20	20_deep_research_shallow_evaluation.pdf	2026	Deep Research, Shallow Evaluation: A Case Study in Meta-Evaluation for Long-Form QA Benchmarks	https://arxiv.org/abs/2603.06942	https://arxiv.org/pdf/2603.06942
