2	Default Category	104368	308939	26190
14	Grocery & Gourmet Food	18482	65343	5551
3	Beauty & Personal Care	22494	62947	5325
5	Clothing, Shoes & Jewelry	21539	55579	4697
11	Electronics	15005	47620	4047
6	Home & Kitchen	17786	45430	3853
27	Women	10041	25715	2162
26	Men	7889	23816	1953
34	Furniture	10869	21831	1897
74	Pantry Staples	5032	19355	1666
75	Snacks & Sweets	5086	18098	1530
19	Hair Care	5065	15569	1339
143	Clothing	5388	13366	1136
261	Snack Foods	3681	12480	1064
12	Cell Phones & Accessories	2510	12318	1016
16	Skin Care	3172	12261	957
56	Computers & Accessories	3022	12044	996
144	Shoes	4136	11490	959
142	Clothing	4704	11339	945
78	Beverages	2590	10875	915
55	Camera & Photo	3623	10620	928
145	Shoes	2603	9550	783
57	Accessories	1973	9066	747
38	Home Décor Products	3099	9043	751
264	Cooking & Baking	2666	8331	737
20	Tools & Accessories	3555	8279	733
8	Tools & Home Improvement	2805	8119	728
53	Accessories & Supplies	2490	8114	694
40	Lighting & Ceiling Fans	2609	7365	667
17	Makeup	1948	7164	586
194	Audio & Video Accessories	2265	6940	598
266	Bottled Beverages, Water & Drink Mixes	1619	6187	535
154	Living Room Furniture	3255	6135	548
15	Oral Care	3231	5579	458
35	Bedding	1511	5526	494
21	Fragrance	1359	5303	452
147	Clothing	3240	5288	514
28	Novelty & More	3240	5288	514
101	Face	1194	4858	382
73	Breads & Bakery	1396	4753	419
199	Computer Accessories & Peripherals	917	4662	369
161	Home Office Furniture	1959	4598	383
167	Bedroom Furniture	2323	4364	374
280	Coffee, Tea & Cocoa	900	4323	356
22	Personal Care	1892	4208	383
110	Shampoo & Conditioner	896	4174	355
128	Body	783	4098	314
95	Women's	983	4045	349
13	Video Games	957	3785	330
260	Herbs, Spices & Seasonings	727	3642	291
263	Chocolate	810	3229	263
160	Lamps & Shades	1033	3195	284
214	Maintenance, Upkeep & Repairs	519	3167	250
9	Health & Household	560	3026	246
36	Storage & Organization	810	2959	219
62	Portable Audio & Video	854	2949	248
60	Headphones	650	2948	246
259	Cookies	943	2899	274
65	Car & Vehicle Electronics	653	2877	241
92	Bags & Cases	1369	2859	264
76	Dairy, Cheese & Eggs	751	2716	237
211	Accessories	747	2715	243
66	Cases, Holsters & Sleeves	469	2702	228
127	Hair Accessories	811	2675	225
51	Home Audio	1331	2655	223
268	Canned, Jarred & Packaged Foods	626	2563	231
39	Kitchen & Dining	682	2521	198
96	Makeup Brushes & Tools	1031	2460	212
269	Candy & Chocolate	591	2375	202
169	Wall Lights	930	2272	199
146	Uniforms, Work & Safety	433	2263	171
221	Car Electronics	538	2245	191
170	Decorative Pillows, Inserts & Covers	608	2229	199
102	Eyes	533	2133	167
97	Bath & Bathing Accessories	1120	2111	203
72	Food & Beverage Gifts	1123	2091	184
162	Window Treatments	721	2071	156
82	Frozen	542	2065	164
176	Candles & Holders	554	2055	177
45	Wall Art	527	2050	188
23	Shave & Hair Removal	828	2034	181
7	Office Products	995	2008	174
54	Television & Video	1110	1993	177
180	Posters & Prints	498	1989	180
18	Foot, Hand & Nail Care	819	1980	176
165	Blankets & Throws	625	1901	185
225	Basic Cases	358	1885	161
231	Laptop Accessories	330	1874	157
117	Face	385	1858	145
222	Earbud Headphones	433	1834	155
219	Portable Speakers & Docks	546	1825	158
218	Computers & Tablets	854	1804	152
107	Lips	468	1759	149
115	Styling Products	366	1743	154
42	Household Supplies	289	1723	136
157	Accent Furniture	836	1711	147
235	Smartwatch Accessories	308	1710	137
77	Breakfast Foods	401	1698	141
171	Ceiling Lights	589	1657	163
10	Patio, Lawn & Garden	328	1621	129
166	Game & Recreation Room Furniture	614	1577	152
204	Chargers & Power Adapters	280	1571	133
125	Deodorants & Antiperspirants	397	1544	130
106	Mirrors	645	1451	128
158	Home Décor Accents	612	1440	122
178	Dining Room Furniture	511	1413	123
274	Sauces, Gravies & Marinades	281	1405	120
198	Lighting & Studio	484	1387	113
216	Digital Cameras	462	1340	111
108	Hair Extensions, Wigs & Accessories	687	1312	117
103	Hair Coloring Products	510	1248	114
120	Eyes	257	1241	94
119	Toothpaste	579	1237	104
209	Video Surveillance	390	1223	112
79	Produce	422	1202	87
175	Storage & Organization	260	1201	96
44	Gardening & Lawn Care	171	1174	84
99	Men's	448	1164	98
122	Men's	276	1158	93
4	Sports & Outdoors	907	1143	94
197	Tripods & Monopods	395	1133	92
63	Security & Surveillance	257	1096	91
109	Lip Care	386	1083	90
265	Cereals	290	1081	97
203	Speakers	501	1080	90
37	Office Electronics	509	1071	94
61	Legacy Systems	304	1067	101
262	Cheese	360	1045	100
123	Styling Tools & Appliances	383	1023	99
100	Dental Floss & Picks	454	1002	81
283	Soups, Stocks & Broths	169	984	79
174	Household Batteries	178	966	80
184	Rugs, Pads & Protectors	122	935	64
202	Tablet Accessories	159	931	78
190	Clothing & Closet Storage	197	929	65
181	Printers & Accessories	346	910	78
168	Artificial Plants & Flowers	273	909	84
243	Automobile Accessories	158	901	74
246	Lenses	145	887	71
91	Hair Loss Products	311	883	59
238	Computer Components	255	881	77
132	Women's	369	833	79
59	PC	183	829	67
228	Data Storage	209	829	77
182	Mirrors	563	825	76
