candidate_id,family,pack_id,pack_label,angle_id,task_structure,status,word_count,query
dra_paper_qc_0001,consumer_technology,audio_headphones,Audio and headphones,long_flight_glasses,constraint_match_and_select,source_probed_query_candidate,95,"I fly long-haul for work, wear glasses, and only carry a small backpack. I am choosing among over-ear noise-cancelling headphones, on-ear headphones, and true-wireless earbuds. The decision has to satisfy maximum $250 budget, comfortable for ten hours, effective against steady cabin noise, and small packing volume. Please compare the options as complete routes rather than as isolated specifications, explain the trade-offs that matter in this situation, and choose the form factor that best preserves noise control without making the trip miserable. If none satisfies everything, identify the least damaging compromise instead of forcing a winner."
dra_paper_qc_0002,consumer_technology,audio_headphones,Audio and headphones,open_office_calls,mechanism_to_case_application,source_probed_query_candidate,122,"I spend full workdays on calls in a loud open-plan office and also listen to music between meetings. I need to decide among wired USB headset, wireless gaming headset, and separate microphone plus headphones while meeting clear outgoing speech, usable music quality, all-day comfort, and no complicated desk setup. Please start from the underlying issue of microphone pickup pattern, sidetone, and software noise suppression and show how it plays out in the specific use case: what it improves, what it cannot solve, and what new trade-off it creates. Then compare the options on that basis and pick the setup that gives coworkers the clearest speech with acceptable listening quality, with a conditional answer if the evidence supports more than one sensible route."
dra_paper_qc_0003,consumer_technology,audio_headphones,Audio and headphones,children_shared_devices,evidence_reconciliation,source_probed_query_candidate,114,"Two children share tablets on road trips and for homework in the same room. I am trying to choose among wired volume-limited headphones, wireless kids headphones, and small shared speaker, but the evidence appears to disagree: high star ratings emphasize durability while parents report broken hinges and inconsistent volume caps. Reconcile the disagreement by checking whether the sources concern different users, conditions, measurements, time periods, or meanings. Then apply the result under these requirements: hearing-safe levels, survive rough handling, simple parental supervision, and work with both tablets. Finally, recommend the safest practical setup and explain what a parent still needs to monitor. Preserve uncertainty where the available evidence does not support one general conclusion."
dra_paper_qc_0004,consumer_technology,audio_headphones,Audio and headphones,balcony_camping_audio,constraint_match_and_select,source_probed_query_candidate,104,"I want one audio device for a small apartment balcony and occasional summer camping. I can see plausible arguments for pocket Bluetooth speaker, larger waterproof speaker, and rugged earbuds, which is why simple ratings are not helping. I need audible outdoors without disturbing neighbors, rain and splash resistance, eight-hour use, and easy to carry. Build the comparison around those needs. Compare the ownership and usability trade-offs where they affect the decision, then choose the least compromised option for both quiet balcony use and camping. If the answer depends on a condition I have not considered, make that condition explicit rather than assuming it away."
dra_paper_qc_0005,consumer_technology,audio_headphones,Audio and headphones,apartment_tv_audio,mechanism_to_case_application,source_probed_query_candidate,123,"I watch films after my neighbors' children are asleep, and dialogue from the television is difficult to follow at low volume. The options are compact soundbar, powered bookshelf speakers, and wireless TV headphones, and the technical explanations I encounter keep mentioning speaker directivity, dynamic-range compression, room reflections, and acoustic isolation. I need to understand which parts of that mechanism are actually decision-relevant. My requirements are clear speech at low volume, minimal sound through shared walls, simple use by two people, and maximum $300. Trace the practical consequences for each option, including any condition that reverses the comparison, and choose the audio approach that improves late-night dialogue without creating a neighbor problem. Do not assume the most advanced-sounding design is automatically the best fit."
dra_paper_qc_0006,consumer_technology,audio_headphones,Audio and headphones,vinyl_first_setup,evidence_reconciliation,source_probed_query_candidate,122,"I inherited a small record collection and want a living-room setup that is enjoyable without becoming a repair hobby. Simple ratings are not enough for turntable with powered speakers, turntable plus integrated amplifier and passive speakers, and all-in-one record player because all-in-one players look convenient while record owners warn about tracking force, vibration, and limited repairability. Separate claims that can coexist under different conditions from claims that genuinely cannot both be right. Then use these requirements to decide which evidence applies to me: maximum $600, replaceable stylus, fit on one cabinet, and low setup complexity. Finally, select the simplest architecture that still protects records and permits sensible maintenance. I want an explanation of the exclusions and remaining uncertainty, not a popularity vote."
dra_paper_qc_0007,consumer_technology,audio_headphones,Audio and headphones,solo_podcast_recording,constraint_match_and_select,source_probed_query_candidate,104,"I record a weekly spoken-word podcast in an untreated bedroom and need cleaner speech than my laptop provides. Before I spend money, I need a decision among USB dynamic microphone, USB condenser microphone, and headset microphone. Please treat reject keyboard and room noise, no separate audio interface, natural voice reproduction, and maximum $220 as real constraints, not preferences that can quietly disappear. Compare how the options behave in the stated use case, separate meaningful differences from marketing language, and choose the microphone type most likely to produce intelligible speech in the actual room. Explain why the excluded options fail or require a specific compromise."
dra_paper_qc_0008,consumer_technology,audio_headphones,Audio and headphones,workshop_hearing_protection,mechanism_to_case_application,source_probed_query_candidate,127,"I spend weekends using loud power tools and would like audio entertainment without defeating hearing protection. I am comparing passive earmuffs with built-in audio, high-isolation wired earphones under earmuffs, and active-noise-cancelling headphones, but I do not want to choose from labels alone. Explain the decision-relevant effects of noise-reduction ratings, passive seal, active cancellation bandwidth, and combined sound exposure in this case. Apply that explanation to these requirements: reduce hazardous tool noise, keep music understandable at modest level, comfortable for two-hour sessions, and easy to clean. Compare where each option benefits or runs into a limit, and identify the arrangement that treats protection as the primary function and audio as secondary. Keep the mechanism tied to the decision rather than turning the answer into a general technical overview."
dra_paper_qc_0009,consumer_technology,audio_headphones,Audio and headphones,sleep_audio_shared_room,evidence_reconciliation,source_probed_query_candidate,119,"I use spoken audio to fall asleep, but my partner needs silence and I change position frequently. I need a decision among pillow speaker, sleep headband headphones, and small bedside speaker, yet bedside speakers receive better sound ratings while side sleepers report leakage, discomfort, and cable problems across all formats. Investigate why the claims diverge, including differences in product version, population, usage, measurement, and evidence attribution where relevant. After resolving what can be resolved, evaluate the choices against these requirements: not audible across the bed, comfortable for side sleeping, automatic shutoff, and no loose hard earbuds. Then choose the least disruptive way to hear speech while falling asleep. If the conflict remains bounded, state exactly what is still unknown."
dra_paper_qc_0010,consumer_technology,audio_headphones,Audio and headphones,silent_instrument_practice,constraint_match_and_select,source_probed_query_candidate,113,"I practice an electronic piano in an apartment and need headphones that reveal timing and dynamics without exaggerating bass. The realistic choices seem to be open-back studio headphones, closed-back monitoring headphones, and consumer wireless headphones, and I keep finding advice aimed at very different users. My hard requirements are accurate midrange and transients, comfortable for ninety minutes, little audible leakage at night, and direct wired connection. Work out which choices genuinely remain after those requirements are applied, show what each surviving choice gives up, and select the monitoring design that best balances honest sound with quiet shared-space practice. I would rather hear that a requirement is incompatible than get a generic best-of list."
