MANIFEST.tsv	0
RUN_STATUS_SUMMARY.md	5836
answer_copy_summary.txt	21
answers/camel-ai__dr_cross_deep_0001_matrix.md	5427
answers/camel-ai__dr_cross_deep_0003_matrix.md	6310
answers/camel-ai__dr_cross_deep_0004_matrix.md	5483
answers/camel-ai__dr_cross_deep_0005_matrix.md	6185
answers/camel-ai__dr_cross_deep_0006_matrix.md	14851
answers/camel-ai__dr_cross_deep_0008_matrix.md	9824
answers/camel-ai__dr_cross_deep_0010_matrix.md	6156
answers/camel-ai__dr_cross_deep_0011_matrix.md	5036
answers/camel-ai__dr_cross_deep_0012_matrix.md	8356
answers/camel-ai__dr_cross_deep_0013_matrix.md	17908
answers/camel-ai__dr_cross_deep_0014_matrix.md	7340
answers/camel-ai__dr_cross_deep_0019_matrix.md	17029
answers/camel-ai__dr_cross_deep_0021_matrix.md	5765
answers/camel-ai__dr_cross_deep_0022_matrix.md	6020
answers/camel-ai__dr_cross_deep_0024_matrix.md	3103
answers/camel-ai__dr_cross_deep_0026_matrix.md	7277
answers/camel-ai__dr_cross_deep_0027_matrix.md	5487
answers/camel-ai__dr_cross_deep_0028_matrix.md	6964
answers/camel-ai__dr_cross_deep_0029_matrix.md	6658
answers/camel-ai__dr_cross_deep_0030_matrix.md	7105
answers/camel-ai__dr_cross_deep_0031_matrix.md	8308
answers/camel-ai__dr_cross_deep_0032_matrix.md	5173
answers/camel-ai__dr_cross_deep_0035_matrix.md	9466
answers/camel-ai__dr_cross_deep_0036_matrix.md	5748
answers/camel-ai__dr_cross_deep_0037_matrix.md	2834
answers/camel-ai__dr_cross_deep_0038_matrix.md	8881
answers/camel-ai__dr_cross_deep_0039_matrix.md	10919
answers/camel-ai__dr_cross_deep_0040_matrix.md	9268
answers/camel-ai__dr_cross_deep_0041_matrix.md	11850
answers/camel-ai__dr_cross_deep_0042_matrix.md	6658
answers/camel-ai__dr_cross_deep_0043_matrix.md	7797
answers/camel-ai__dr_cross_deep_0044_matrix.md	6354
answers/camel-ai__dr_cross_deep_0045_matrix.md	6890
answers/camel-ai__dr_cross_deep_0046_matrix.md	8068
answers/camel-ai__dr_cross_deep_0047_matrix.md	4681
answers/camel-ai__dr_cross_deep_0048_matrix.md	18489
answers/camel-ai__dr_cross_deep_0049_matrix.md	15691
answers/camel-ai__dr_cross_deep_0050_matrix.md	7054
answers/camel-ai__dr_cross_deep_0053_matrix.md	6503
answers/camel-ai__dr_cross_deep_0054_matrix.md	5140
answers/camel-ai__dr_cross_deep_0055_matrix.md	5691
answers/claude-code__dr_cross_deep_0001_matrix.md	2693
answers/claude-code__dr_cross_deep_0002_matrix.md	1249
answers/claude-code__dr_cross_deep_0003_matrix.md	2994
answers/claude-code__dr_cross_deep_0004_matrix.md	542
answers/claude-code__dr_cross_deep_0005_matrix.md	438
answers/claude-code__dr_cross_deep_0006_matrix.md	3178
answers/claude-code__dr_cross_deep_0007_matrix.md	1337
answers/claude-code__dr_cross_deep_0008_matrix.md	272
answers/claude-code__dr_cross_deep_0009_matrix.md	4164
answers/claude-code__dr_cross_deep_0010_matrix.md	2130
answers/claude-code__dr_cross_deep_0011_matrix.md	717
answers/claude-code__dr_cross_deep_0012_matrix.md	1337
answers/claude-code__dr_cross_deep_0013_matrix.md	436
answers/claude-code__dr_cross_deep_0014_matrix.md	1337
answers/claude-code__dr_cross_deep_0015_matrix.md	96
answers/claude-code__dr_cross_deep_0016_matrix.md	4365
answers/claude-code__dr_cross_deep_0017_matrix.md	1507
answers/claude-code__dr_cross_deep_0018_matrix.md	1385
answers/claude-code__dr_cross_deep_0019_matrix.md	1619
answers/claude-code__dr_cross_deep_0020_matrix.md	6084
answers/claude-code__dr_cross_deep_0021_matrix.md	677
answers/claude-code__dr_cross_deep_0022_matrix.md	3862
answers/claude-code__dr_cross_deep_0023_matrix.md	1337
answers/claude-code__dr_cross_deep_0024_matrix.md	306
answers/claude-code__dr_cross_deep_0025_matrix.md	186
answers/claude-code__dr_cross_deep_0026_matrix.md	186
answers/claude-code__dr_cross_deep_0027_matrix.md	215
answers/claude-code__dr_cross_deep_0028_matrix.md	185
answers/claude-code__dr_cross_deep_0029_matrix.md	215
answers/claude-code__dr_cross_deep_0030_matrix.md	185
answers/claude-code__dr_cross_deep_0031_matrix.md	215
answers/claude-code__dr_cross_deep_0032_matrix.md	185
answers/claude-code__dr_cross_deep_0033_matrix.md	185
answers/claude-code__dr_cross_deep_0034_matrix.md	185
answers/claude-code__dr_cross_deep_0035_matrix.md	215
answers/claude-code__dr_cross_deep_0036_matrix.md	215
answers/claude-code__dr_cross_deep_0037_matrix.md	185
answers/claude-code__dr_cross_deep_0038_matrix.md	185
answers/claude-code__dr_cross_deep_0039_matrix.md	185
answers/claude-code__dr_cross_deep_0040_matrix.md	185
answers/claude-code__dr_cross_deep_0041_matrix.md	58
answers/claude-code__dr_cross_deep_0042_matrix.md	58
answers/claude-code__dr_cross_deep_0043_matrix.md	58
answers/claude-code__dr_cross_deep_0044_matrix.md	58
answers/claude-code__dr_cross_deep_0045_matrix.md	58
answers/claude-code__dr_cross_deep_0046_matrix.md	58
answers/claude-code__dr_cross_deep_0047_matrix.md	58
answers/claude-code__dr_cross_deep_0048_matrix.md	58
